DIRECTORIOP6020     P6040     P5502     P6081     P6083     P6080     P1895     P1896     P1897     P1898     P1899     P1901     P1902     P1903     P1904     P1905     N_HIJOS   N_NIETOS  P1910     P1911     P1912     P1084     P1083S3
   6000964         2        49         3         3         2         6         6         6        10         5         7         8         8         5        10        10         1         0         5         5         2         2         0
   6000994         2        78         5         3         3         6         8         9         5         6         7         4         4         5         9         7         1         0         5         5         5         5         0
   6001006         2        46         3         2         2         6         8         3         5         9        10        10         9         7         0        10         2         0         5         5         5         1         1
   6001035         2        46         3         2         2         6         5         5         6         7        10         6        10         6         3        10         1         0         5         1         5         2         1
   6001046         2        27         5         2         3         6        10         5        10         7         8         8         7         7         7        10         1         0         5         5         5         2         1
   6001050         2        34         5         2         2         6         7         6         9         3         6         6         6         6         6        10         1         0         1         2         5         1         1
   6001087         2        35         5         3         3         5        10         7        10         8         4         5        10         8         7         9         2         0         5         5         5         5         0
   6001088         2        25         5         2         2         6        10        10        10         8         8         9         9         2         2         9         2         0         5         5         5         1         1
   6001092         2        63         5         2         2         6         7         6         8         7         7        10        10         0         0        10         1         0         1         1         5         1         1
   6001093         2        73         3         3         3         6         8         8         8         8         8         8         8         7         3         8         1         2         5         5         5         5         0
   6001103         2        28         3         2         2         6         5         8        10        10        10        10        10         0         0        10         2         0         2         5         5         1         1
   6001109         2        33         5         2         2         6         8         7         8         8        10        10         7         8         4        10         1         0         3         5         5         3         1
   6001126         2        61         3         2         3         6        10         0         8        10        10         1         1         9         9        10         2         5         5         5         5         5         0
   6001148         2        88         3         3         3         6         7         5         6         8         8         8         7         2         2         8         1         0         5         5         5         5         0
   6001154         2        51         3         3         2         6         8         5         5         7         8         8         9         4         4        10         2         2         5         5         5         5         0
   6001157         2        78         3         3         3         6         7         6         5         5         6         6         7         7         6         9         1         0         5         5         5         5         0
   6001162         2        50         3         3         3         6        10         5         9        10         5         7         6         6         7        10         1         5         5         5         5         5         0
   6001167         2        21         5         2         2         5         7         0        10         5         5         7         7         6         0         8         1         0         5         5         5         1         1
   6001170         2        61         3         3         3         6         7         7         7         3        10        10        10         0         0        10         1         2         5         5         5         2         1
   6001173         2        52         3         3         3         5         2         4         4         4         5         3         8         4         2         9         1         0         5         5         1         1         1
   6001177         2        27         5         2         2         5         9         5         8        10         0         8         9         8         0         9         1         0         5         5         5         2         1
   6001189         2        26         5         2         2         5         8         7         8         8         9         7         7         0         0        10         2         0         1         5         5         2         1
   6001229         2        88         3         3         3         6         8         7         9        10         0         8         8         8         5         7         1         2         5         5         5         5         0
   6001231         2        64         3         3         3         6         6         7         7         9         9         9         9         8         8         9         1         0         5         5         5         5         0
   6001236         2        68         3         3         3         6        10        10         8         6         6        10        10         0         0        10         2         1         5         5         5         5         0
   6001245         2        52         3         3         2         6         6         2         1         4        10         9         9         1         2         9         1         0         5         5         5         5         0
   6001250         2        51         3         3         3         6         9         9         9         9         2         9         9         3         3         8         2         0         5         2         5         1         1
   6001257         2        22         5         2         2         5         7         7        10         5        10         8        10         0         0        10         1         0         3         3         5         1         1
   6001314         2        66         3         1         3         6         8         7         5         7         8         7         7         3         3         9         2         2         5         2         5         2         1
   6001318         2        58         3         3         2         6         8         8         5        10         7         0         5         4         4         9         1         1         5         5         5         1         1
   6001330         2        34         5         2         2         6         8         3         7         6         5         8         7         3         2        10         2         0         5         5         5         2         1
   6001336         2        77         3         3         3         6         8         7         6         9         7         8         7         4         4         8         1         0         5         5         5         5         0
   6001349         2        55         5         3         3         6         6         3         5         1        10         7         8         7         4         7         2         0         2         5         5         5         0
   6001357         2        37         5         2         2         6        10        10        10        10        10        10        10         0         0        10         1         0         2         2         5         2         1
   6001370         2        42         5         3         2         6         5         2         4         5         2         4         4         9         2        10         3         1         5         5         5         2         1
   6001371         2        65         3         3         3         6         7         7         4         3         5         6         5         6         7         6         1         0         5         5         5         5         0
   6001384         2        22         5         2         2         5        10         9        10        10         0         9         0         0         0        10         1         0         5         5         5         1         1
