DIRECTORIOP6020     P6040     P5502     P6081     P6083     P6080     P1895     P1896     P1897     P1898     P1899     P1901     P1902     P1903     P1904     P1905     N_HIJOS   N_NIETOS  P1910     P1911     P1912     P1084     P1083S3
   6003599         2        50         5         2         2         6         9         8         9         8         7         7         7         7         6         8         1         5         5         5         5         5         0
   6003615         2        64         5         2         2         6         8         5         6         5         6         5         5         5         5         6         1         0         5         5         5         5         0
   6003650         2        30         5         2         2         6         8         7         6         6         5        10         8         7         3         7         1         0         5         5         5         5         0
   6003664         2        75         5         2         3         6         8         9        10         8         9         7         5         7         5         8         2         0         5         5         5         5         0
   6003685         2        58         5         2         2         6         9         7         8         6         9        10         8         7         2        10         3         2         5         5         5         5         0
   6003686         2        53         5         2         2         6         9         8         7         7         7         8         7         7         6         8         1         1         5         5         5         5         0
   6003702         2        60         3         3         3         6        10        10        10        10        10        10        10         5         3        10         2         1         5         5         5         5         0
   6003712         2        37         5         2         2         6        10        10        10        10        10        10        10         0         0        10         2         0         1         1         1         1         1
   6003718         2        61         3         3         3         6         8         9         9         9         8         9         8         5         4         8         1         2         3         5         5         3         1
   6003778         2        79         3         3         3         5         9         8         7         8         0         9         9         0         0        10         2         3         5         5         5         5         0
   6003782         2        84         3         3         3         6         7         6         6         6         0         9        10         0         0         8         1         1         5         5         5         5         0
   6003865         2        65         3         3         3         6        10        10        10         8        10        10        10         0         0        10         1         1         5         5         5         5         0
   6003877         2        44         3         2         3         6         9         9         8         7         6         5         6         6         6         9         3         0         1         2         5         1         0
   6003952         2        60         3         2         2         3         8         8         8         8         8         8         7         3         3         8         2         0         1         1         5         1         1
   6003981         2        57         3         2         2         5        10        10        10         9        10         8         9         1         0        10         1         0         1         1         5         1         1
   6003982         2        69         3         2         2         5        10        10        10        10        10        10        10         0         0         0         1         0         5         5         5         5         0
   6004011         2        32         5         2         2         3         5         8         6         8         6         6         6         4         3         6         1         0         1         1         5         1         1
   6004015         2        52         3         2         2         5        10        10        10        10        10        10        10         0         0        10         1         0         5         5         5         5         0
   6004028         2        38         5         2         2         3         8         8         7         8         6         6         6         5         5         6         2         0         1         1         5         1         1
   6004072         2        47         5         3         3         6         8         6         6         3         9         6         2         1         0         7         1         0         1         3         5         1         0
   6004099         2        82         3         3         3         6         9         7         9         9         7         7         7         2         1         6         1         3         5         5         5         5         0
   6004119         2        83         3         3         3         6         4         6         6         8         7         7         6         4         3         7         1         1         5         5         2         2         1
   6004126         2        37         5         2         2         6         8         5        10         8         8         7        10         0         0        10         1         0         1         5         2         1         1
   6004127         2        64         3         3         2         6         7         5         4         6         4         7         5         6         4         8         1         0         5         5         5         5         0
   6004151         2        52         3         2         2         6         9         8         8         8         8         9         9         3         4         9         2         0         2         3         5         2         1
   6004157         2        50         3         2         2         6         7         7         7         6         6         4         4         5         4         5         2         1         5         5         5         5         0
   6004167         2        57         5         3         3         6        10        10         5        10        10        10        10         0         0        10         1         0         5         5         5         5         0
   6004175         2        64         3         3         2         1         8         8         8         8         8         9         9         3         0         9         2         0         5         5         5         5         0
   6004190         2        74         3         3         3         6        10         5         5         5         8        10         9         0         0         6         1         0         5         5         5         5         0
   6004196         2        91         3         3         3         6        10         9         7         8        10         8         9         0         0         9         3         0         5         5         5         5         0
   6004214         2        54         3         2         3         6         7         5         7         6         8         8         8         0         0        10         1         0         5         5         5         5         0
   6004244         2        35         5         2         2         6         7         6         8         5         8         9         9         6         4        10         3         0         5         1         5         1         1
   6004250         2        70         5         3         3         6         5         5         2         8         0         5         5         6         6        10         1         0         5         5         5         2         1
   6004264         2        93         3         3         3         6         7         4         7         7         8         5         5         8         7         5         1         0         5         5         5         5         0
   6004277         2        35         5         2         2         6         0         0         5         5         3         5         8         6         9         7         1         0         5         5         5         5         0
   6004284         2        29         3         2         2         6         8         7         8         6         8         7         7         2         3         8         1         0         5         5         5         1         1
   6004295         2        53         3         2         2         6         8         9         6         8         9         8         5         3         2         6         2         1         5         5         5         5         0
   6004311         2        47         3         3         3         6         8         7         6         7         8         7         7         3         3        10         1         0         1         5         5         1         1
   6004318         2        43         3         2         2         6         8         6         5         3         8         8         7         1         0         7         1         0         4         2         5         1         1
   6004329         2        31         3         2         2         6         8         7         8         8         8         8         9         0         0         9         1         0         5         5         5         2         1
   6004337         2        74         3         3         3         6         9         2         6         9         9         8         5         5         2        10         1         1         5         5         5         5         0
   6004355         2        47         3         3         3         6         9         5         7         9         8         8         7         3         0         9         1         0         5         5         5         5         0
   6004369         2        57         3         3         3         6         7         4         8         7         7         7         5         6         3         8         1         0         5         5         5         5         0
   6004403         2        36         5         3         2         6         4         4         5         5         5         5         5         1         1         6         2         0         5         5         5         5         0
   6004441         2        40         5         2         2         6        10         7         7         6         7        10        10         1         0        10         3         0         2         2         5         1         1
   6004465         2        61         3         3         3         6         9         8         7         9         8         7         6         3         2        10         2         5         5         5         5         5         0
   6004466         2        47         3         3         2         6         8         8         9         6         8         8         8         0         1        10         2         2         5         5         5         5         0
   6004493         2        59         5         3         3         6         8         5         9         8         7         8         8         0         0         9         1         1         5         5         5         5         0
   6004494         2        57         3         3         2         6         9         8         9         7         7         7         8         9         4        10         2         1         2         5         5         3         1
   6004501         2        33         5         3         1         6         9         8         8         8         8         8         7         5         8         9         1         0         2         5         5         1         1
   6004509         2        45         5         3         3         6         8         7         8         7         8         7         8         0         0         8         2         2         5         5         5         5         0
   6004511         2        50         3         3         2         6         8         7        10         5        10         9        10         0         2        10         2         1         5         5         5         5         0
   6004524         2        50         5         3         3         6        10         6         8         8         7         8         8        10         0        10         2         1         3         5         5         1         1
   6004528         2        38         3         2         2         6         3         0         5        10         0         0         0        10        10        10         2         0         5         5         5         5         0
   6004556         2        43         5         2         2         6        10        10        10        10        10        10        10         0         0        10         1         1         5         5         5         2         1
   6004560         2        75         3         3         3         6        10         8         8         8         8        10        10         5         5        10         2         0         5         5         5         5         0
   6004614         2        64         3         3         3         6        10        10         5         6         4         7         1         5         4         6         1         1         5         5         5         5         0
   6004664         2        64         3         3         3         6         7         6         7         9         6         5         7         3         3         4         1         0         5         5         5         5         0
   6004668         2        59         5         3         3         6        10         8         8         7         7        10         1         0         0        10         1         0         5         5         5         5         0
   6004674         2        72         3         3         2         6        10         6        10        10        10        10        10         0         0        10         1         1         5         5         5         5         0
   6004679         2        24         5         2         2         6         7         7        10         9         8         8         7         6         0         9         1         0         5         5         5         1         1
   6004690         2        44         5         2         3         6        10         7        10         6        10        10        10         0         4        10         1         0         5         5         3         2         0
   6004703         2        62         3         3         3         6         6         5         9        10         7         5         7         3         5         9         2         2         5         5         5         5         0
   6004719         2        62         3         3         3         6        10        10        10        10        10        10        10         0         0        10         1         0         5         5         5         1         1
   6004739         2        62         3         3         3         6         6         5         6         8        10         3         4         3         5         8         2         0         5         5         5         5         0
   6004744         2        52         3         2         3         5         8         5         8         8         8         9        10         0         1        10         2         0         3         5         5         3         1
   6004748         2        77         3         3         3         5        10        10         4         8         8        10        10         0         0        10         3         2         5         5         5         5         0
   6004789         2        26         5         2         3         5        10         6         9         9         8        10         9         0         0        10         1         0         5         5         5         1         1
   6004802         2        77         3         3         3         6         6         8         7         7         6         8         8         3         1         7         2         1         5         5         5         5         0
   6004863         2        90         3         3         3         6        10         1         5         9        10        10        10         0         2        10         1         0         5         5         5         5         0
   6004913         2        37         3         2         2         6         5         6         9         8         6         7         8         0         1         7         3         0         5         5         5         5         0
   6004942         2        52         3         2         2         5         6         6         7         7         7         8         7         3         2        10         1         0         5         5         5         5         0
   6004966         2        77         3         3         3         5         9         4        10        10         4         8        10         0         7        10         1         0         5         5         5         5         0
   6004978         2        25         5         3         2         6         9         5         7         9         7         9         9         3         1         9         1         0         1         5         5         1         1
   6004989         2        70         3         3         3         6        10         8         5         6         8         8         8         2         3        10         2         2         5         5         5         5         0
   6005002         2        56         5         3         2         6        10         7         5         2         7        10        10         0         0        10         1         0         1         1         5         1         1
   6005005         2        45         3         2         2         6         8         8         5         4        10         7         7         3         3         8         1         0         1         2         5         1         1
   6005008         2        22         5         2         1         6         7         7         9         7         9         7         6         6         6        10         1         0         5         4         5         1         1
   6005013         2        85         3         3         3         6         8         6         3         8         6         5         6         4         2         7         3         0         5         5         5         5         0
   6005021         2        24         5         3         2         6         8         4         8         8         4         7         7         4         2         9         2         0         5         5         5         5         0
   6005026         2        53         3         3         1         1         0         0         3         3         0         0         0         2        10         4         2         0         5         5         5         5         0
   6005038         2        53         5         3         1         6         7         4         4         6         6         6         4         6         7         8         2         2         5         5         5         5         0
   6005066         2        86         3         3         3         6         8         4         4         8         3         8         8         3         3         8         1         0         5         5         5         5         0
   6005067         2        47         5         3         3         6         6         0         0        10         0         5         2         8         2         6         1         0         5         5         5         5         0
   6005092         2        26         5         2         2         6         7         5         6         4         5         8         8         3         0         8         1         0         1         5         5         1         1
   6005097         2        61         3         3         3         6         0         4         4         7         7         5         7         8         5         6         1         0         5         5         5         5         0
   6005099         2        63         3         3         3         6         8         7         6         8         8         7         7         5         2         9         1         0         5         5         5         5         0
   6005102         2        31         5         2         2         6         9         4         8        10         5         7        10        10         7        10         1         0         5         5         5         3         1
   6005104         2        81         3         3         3         6         8         9         5         8         8         7        10         0         0        10         1         0         5         5         5         5         0
   6005107         2        25         5         1         2         6         8         7        10         8        10         8        10         0         0        10         1         0         1         5         5         1         1
   6005111         2        27         5         2         2         6         7         7         5         8         5         6         6         7         6         8         1         0         5         5         5         5         0
   6005137         2        35         5         2         2         6         6         4         6         8         6         5         6         7         4         6         1         0         5         5         5         5         0
   6005145         2        46         3         3         2         6         8         7         8         7         9         7         8         3         2        10         2         0         5         5         5         5         0
   6005163         2        49         5         3         2         6         8         6         3         2         8         8         8         3         0        10         2         3         5         5         5         5         0
   6005197         2        70         3         3         2         6         8         7         8         8         8         9         9         2         0         9         2         3         5         5         5         5         0
   6005198         2        87         3         3         3         6         9         0         1         1         1         0         0        10        10         4         1         3         5         5         5         5         0
   6005213         2        39         5         3         3         6         5         2         6        10         2        10         0         6         2        10         1         0         5         5         5         5         0
   6005216         2        27         5         2         2         6        10        10        10        10        10        10        10         0         0        10         1         0         5         5         5         5         0
   6005225         2        51         3         3         2         6         8         3        10         9         7         8         8         5         4        10         1         0         5         5         5         5         0
   6005238         2        44         5         2         3         6         8         8        10        10         8        10        10         0         0        10         1         0         1         5         4         1         0
   6005255         2        80         3         3         3         6         8         8         8         6         8        10        10         2         0         8         1         0         5         5         5         5         0
   6005267         2        59         3         2         3         6         9         9         9         8         8        10        10         2         1         8         2         1         5         2         5         1         1
   6005369         2        56         3         3         3         6         9         8        10        10        10        10        10         0         0        10         1         0         5         5         5         5         0
   6005387         2        27         5         2         2         1         6         5         8         7         8         8         7         4         3         8         1         0         5         5         5         1         1
   6005446         2        35         5         3         2         6        10        10        10        10        10        10        10         0         0        10         2         0         5         5         5         1         1
   6005447         2        35         3         2         2         6         7         6         6         8         5         6         6         7         5         7         2         0         5         5         5         5         0
   6005451         2        62         3         3         2         6         8         8        10        10         0        10        10         0         0         8         2         0         5         5         5         1         0
   6005458         2        69         3         3         3         6        10        10         7         8         9        10         9         0         1        10         1         0         5         5         5         5         0
   6005462         2        29         5         2         3         6         5         0         5         8         5         4         5         6         5         8         1         0         5         5         5         1         1
   6005477         2        45         5         2         2         6         9         9         9         9         9         9         9         2         2         9         1         0         1         5         5         1         1
   6005486         2        74         3         3         3         6         9         9         9         9         9         9         9         2         2         9         1         2         5         5         5         5         0
   6005487         2        19         5         2         2         6         9         7         9         9         7         8         8         1         1         9         1         0         2         2         2         2         1
   6005490         2        53         3         2         2         6         9         9         9         9         7         9         9         0         0         9         1         1         5         5         5         5         0
   6005496         2        33         5         2         2         5         8         5        10         8        10         8        10         0         6        10         1         0         5         5         5         5         0
   6005501         2        39         5         2         2         5         9         9         9         9         8         9         9         0         0        10         2         0         5         5         5         5         0
   6005506         2        32         5         3         2         5        10         7        10        10         7         8         5         6         6        10         2         0         5         5         5         1         1
   6005514         2        68         3         2         2         6         9         8         9         9         8         9         9         0         0         9         1         0         5         5         5         5         0
   6005537         2        34         5         3         3         6         7         6         7         6         3         7         6         5         5         8         1         0         5         5         5         5         0
   6005545         2        34         5         3         2         6         7         6         7         3         6         7         4         4         3         7         1         0         3         5         5         3         1
   6005554         2        53         3         2         2         6         9         9         9         9         8         8         8         4         3        10         2         3         5         5         5         5         0
   6005559         2        62         3         3         3         6         6         3         0         6         1         0         0         0        10         6         2         1         5         5         5         5         0
   6005560         2        74         3         3         3         6         6         9         8         8         8         6         5         5         7         9         1         0         5         5         5         5         0
   6005569         2        57         5         3         3         6        10        10        10        10        10        10        10         0         0        10         2         1         5         5         5         1         1
   6005572         2        35         3         3         3         6         5         4         8        10         7         5         6         8         8         8         1         0         5         5         5         1         1
   6005574         2        69         3         3         2         6        10        10        10         9         9         8         8         5         5        10         2         0         5         5         5         5         0
   6005580         2        93         3         3         3         6         9         8         8         9         8         9         8         2         2         7         3         0         5         5         5         5         0
   6005583         2        33         5         2         2         6        10         7        10         3        10         8         8         1         0        10         1         0         5         5         2         5         0
   6005603         2        44         5         3         3         6         3         0         8         6         3         0         9         8         0        10         2         0         5         5         5         5         0
   6005633         2        49         3         2         2         6         7         7         7         8         7         8         3         7         5        10         1         0         5         5         5         5         0
   6005634         2        50         3         3         3         6         0         3         8         5         6         0         0        10        10         0         2         0         5         5         5         5         0
   6005685         2        78         3         3         3         6         8        10         6        10         7        10         4         5         0        10         2         0         5         5         5         5         0
   6005687         2        73         3         3         3         6         8         6         8         8         8        10         8         2         2        10         1         2         5         5         5         5         0
   6005696         2        81         3         3         3         5         9         9         7         7         7         8         8         2         2         8         1         1         5         5         5         5         0
   6005703         2        77         3         3         3         6        10        10        10        10        10        10        10         0         0        10         1         0         5         5         5         5         0
   6005764         2        58         3         3         3         6         8         5         8         8         8         8         8         2         0        10         1         0         5         5         5         5         0
   6005771         2        91         3         3         3         6         7         7         6         8         5         8         7         2         2         7         1         2         5         5         5         5         0
   6005789         2        77         3         3         3         6        10         9         8         4         9         8         8         7         4        10         1         0         2         5         5         1         1
   6005844         2        47         3         2         2         6        10        10        10        10         8        10        10         0         0        10         1         1         5         5         5         5         0
   6005869         2        65         5         3         3         5        10        10        10        10        10        10        10         0         0        10         1         2         5         5         5         5         0
   6005871         2        93         3         3         3         6        10        10        10        10        10        10        10         0         0        10         3         1         5         5         5         5         0
   6005874         2        52         3         2         2         5        10         8         6        10        10        10        10         0         0        10         1         0         1         5         5         1         1
   6005886         2        35         5         2         2         6         7         8         8         6         5         7         6         7         2         7         1         0         5         5         5         1         1
   6005892         2        45         3         2         2         5        10         8         7         8         8         9        10         0         1        10         2         0         5         5         5         5         0
   6005903         2        33         5         2         2         6         6         3         7         8         3         5         5         3         3         8         1         0         5         5         5         1         1
   6005906         2        44         5         3         3         3         9         9         9         9         9         9         9         3         3         9         1         0         5         5         5         1         1
   6005944         2        48         3         2         2         6         7        10         9         5         8         8         8         2         1        10         2         0         2         5         5         1         1
   6005957         2        46         3         3         3         6         8         7         9         7         8         8         8         2         1         9         1         0         3         2         5         1         1
   6006005         2        38         3         2         2         6         8         7         8         8         8         8         7         1         0         8         1         0         5         5         5         5         0
   6006008         2        26         5         3         1         6         8         7         8         7         8         7         7         2         1         8         1         0         5         5         5         1         1
   6006036         2        93         3         3         3         6         8         8         7        10         8         8         9         2         1         8         1         1         5         5         5         5         0
   6006043         2        90         5         3         3         6         8         7         7         8         8         7         7         0         0         8         1         1         5         5         5         5         0
   6006074         2        40         3         2         2         6        10        10        10        10         2        10        10         0         0        10         2         0         5         5         5         5         0
   6006077         2        83         3         3         3         6        10         9         0        10        10         3         2         5         2        10         2         2         5         5         5         5         0
   6006085         2        59         3         3         3         6         9         4         4        10        10        10        10         0         0        10         2         0         5         5         5         5         0
   6006087         2        43         5         1         3         6        10        10        10        10        10         5        10         4         5        10         2         0         5         5         5         5         0
   6006089         2        60         3         1         3         6        10        10        10         8         0         8         8         0         0        10         1         1         5         5         5         5         0
   6006105         2        94         3         3         3         5        10        10        10        10        10        10        10         0         0        10         1         0         5         5         5         5         0
   6006114         2        26         5         3         3         6        10         2         9         4         5         4         4         2         4        10         1         0         5         5         5         2         1
   6006144         2        74         3         3         3         6         8        10         8         7        10         8         5         4         6        10         1         2         5         5         5         5         0
   6006150         2        78         3         3         3         6         8        10         8        10        10        10        10         0         0        10         1         1         5         5         5         5         0
   6006182         2        67         3         2         2         1         7         3         8         7         8         8         8         3         0         8         2         2         5         5         5         5         0
   6006188         2        64         3         3         2         1         6         2         6         7         5         7         7         3         3         8         1         0         5         5         5         5         0
   6006212         2        70         3         3         3         6        10         6        10        10         0        10        10         0         0        10         3         0         5         5         5         1         0
   6006221         2        60         3         2         2         6        10         7         7         7         0        10        10         6         0        10         1         2         5         5         5         1         1
   6006324         2        61         3         3         3         6         5         5         9         8         5         6         3         3         6         7         1         0         5         5         5         5         0
   6006333         2        49         3         3         2         6         8         6         8         7         7         8         6         5         7         8         4         1         5         5         5         5         0
   6006336         2        78         3         3         3         6         5         7         4        10         5         0        10        10         5         6         1         0         5         5         5         5         0
   6006342         2        47         5         2         2         6         8        10        10        10        10        10        10         0         0        10         2         0         5         1         5         1         1
   6006391         2        76         3         2         2         6         9         8         9         8         8         9         8         3         4         9         2         2         5         5         5         5         0
   6006439         2        32         5         2         2         6        10         9        10         8         9         8         8        10        10        10         3         0         5         5         1         1         1
   6006461         2        52         5         3         3         6         9         7         8         7         8         8         8         7         7         8         2         0         1         1         5         1         1
   6006477         2        38         5         2         2         6         8         6        10         8        10         8         9         8         0        10         2         0         5         5         5         5         0
   6006504         2        57         5         2         2         6         6         6         9         8         7         8         8         0         0        10         1         1         5         5         5         5         0
   6006522         2        57         5         3         3         6         8         1         6         4         0         7         7         1         1         6         1         0         5         5         5         5         0
   6006525         2        67         3         3         3         6         8         7         9         7         7         8         9         5         3        10         1         1         5         5         5         5         0
   6006559         2        76         3         3         3         6         9         2         7         9         0         9         9         0         0         9         1         1         5         5         5         5         0
   6006562         2        81         3         3         3         6         7         0         7         8         5         8         8         2         2         9         1         0         5         5         5         5         0
   6006571         2        66         3         3         3         6         8         7         4         7         7         8         8         2         2         8         1         1         5         5         5         5         0
   6006683         2        49         5         1         3         6         9        10         8         5         9         8         8         2         3         9         1         0         1         1         5         1         1
   6006691         2        48         5         3         3         6         8         3         8         5         4         7         8         6         2         9         2         1         5         1         5         1         1
   6006692         2        64         3         3         3         6         8         5         8         6         9         9         9         2         2        10         1         0         5         5         5         5         0
   6006699         2        47         5         3         3         6        10         8         8         9        10        10        10         2         2        10         2         0         1         5         5         1         1
   6006737         2        69         3         3         3         6         5         5         5         5        10        10        10         3         9        10         2         1         5         5         5         5         0
   6006767         2        66         3         3         3         6        10        10         6        10        10         7        10         0         0        10         1         1         5         5         5         5         0
   6006798         2        41         3         2         2         6         7         1         2         8         4         7         0         8         3         7         1         0         2         5         5         1         1
   6006817         2        41         5         2         2         6         8         6         9         6         9         9         8         5         1        10         1         0         3         5         5         2         0
